Refs,Value,Footprint,QTY,MFR,MPN,SPR,SPN
C11,C,Capacitors_THT:CP_Radial_D10.0mm_P5.00mm,1,Panasonic,ECA-2AHG101,,667-ECA-2AHG101
C9,C,Capacitors_THT:C_Axial_L22.0mm_D9.5mm_P27.50mm_Horizontal,1,,,,
C7,C,Capacitors_THT:C_Disc_D7.5mm_W5.0mm_P10.00mm,1,,,,
J1,Screw_Terminal_1x08,Connectors_Phoenix:PhoenixContact_MCV-G_08x5.08mm_Vertical,1,,,,651-1729186
R3;R7;R5;R8,R,Resistors_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,4,,,,
C5,CP,TristanValves:CP_Radial_D18.0mm_P7.50mm,1,Nichicon,UCA2W220MHD6,,647-UCA2W220MHD6
C3;C8;C10,C,TristanValves:C_Axial_L17.0mm_D6.5mm_P20.00mm_Horizontal,3,,,,
J15,Screw_Terminal_1x01,TristanValves:MountingHole_3.2mm_M3_Pad,1,,,,
J6;J3;J8;J4;J7;J5,Screw_Terminal_1x02,TristanValves:PhoenixContact_MCV-G_02x5.08mm_Vertical,6,,,,651-1729128
R2;R6;R11;R10;R12;R1,R,TristanValves:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,6,,,,
TP1;TP2;TP3,TEST,TristanValves:Test_Point_Keystone_5005-5009_Compact,3,,,,534-5006
U1,ECC83,TristanValves:VALVE-ECC-83-1-TC2,1,,,,
