Refs,Value,Footprint,QTY,MFR,MPN,SPR,SPN
C1;C6,CP,Capacitors_THT:CP_Radial_D5.0mm_P2.00mm,2,,,,
J2,Screw_Terminal_1x08,Connectors_Phoenix:PhoenixContact_MCV-G_08x5.08mm_Vertical,1,,,,651-1729186
R3;R7;R5;R1;R8,R,Resistors_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,5,,,,
C5,CP,TristanValves:CP_Radial_D18.0mm_P7.50mm,1,Nichicon,UCA2W220MHD6,,647-UCA2W220MHD6
C3;C8,C,TristanValves:C_Axial_L17.0mm_D6.5mm_P20.00mm_Horizontal,2,,,,
C4;C9,C,TristanValves:C_Axial_L3.8mm_D2.6mm_P12.50mm_Horizontal,2,,,,
C2;C7,C,TristanValves:C_Disc_D7.5mm_W5.0mm_P7.50mm,2,,,,
NE2;NE1,Lamp_Neon,TristanValves:C_Disc_D7.5mm_W5.0mm_P7.50mm,2,,,,
J15,Screw_Terminal_1x01,TristanValves:MountingHole_3.2mm_M3_Pad,1,,,,
J6;J3;J1;J8;J4,Screw_Terminal_1x02,TristanValves:PhoenixContact_MCV-G_02x5.08mm_Vertical,5,,,,651-1729128
RV1;RV2,POT_TRIM,TristanValves:Potentiometer_Trimmer_Bourns_3339P_Horizontal,2,,,,652-3339P-1-502LF
R2;R6;R4;R9,R,TristanValves:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,,,,
TP1;TP2;TP3,TEST,TristanValves:Test_Point_Keystone_5005-5009_Compact,3,,,,534-5006
U1,ECC83,TristanValves:VALVE-ECC-83-1-TC-Oct,1,,,,
